Flag,Description,Type,Part,Quantity,OptionGroup,OptionGroupPrompt,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02019,Finished Good,AP-02019,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,PCB,Raw Good,EC-01401-1,1,HSO,HSO,M-HSO,1,10
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,11
Item,Add AC-01434,Raw Good,AC-01434,1,TC IN,TC IN,M-TCI,1,12
Item,Add AC-01424,Raw Good,AC-01424,1,DISPLAY,DISPLAY,,1,13
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,13,14
Item,NTP,Raw Good,EC-01410-DB9,1,BASE,BASE,,1,15
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,16
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,17
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,18
BOM,AP-05500,GMR5000 [template],Manufacture,1,,,,,
Item,Add XA-10074,Raw Good,XA-10074,1,,,W1,17,28
Item,BASE,Raw Good,EC-00750,1,,,,15,26
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,25
Item,Create AP-05500,Finished Good,AP-05500,1,,,,1,1
Item,Add AS-00005,Raw Good,AS-00005,1,,,,1,2
Item,Add WH-00062,Raw Good,WH-00062,1,,,,2,3
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,4
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,5
Item,Add PL-00005,Raw Good,PL-00005,1,POWER CORD,POWER CORD,,3,6
Item,Add PL-00006,Raw Good,PL-00006,1,POWER CORD,POWER CORD,,4,7
Item,Add AC-00753-B,Raw Good,AC-00753-B,1,GPS/GNSS,GPS/GNSS,,1,8
Item,Add AC-00753-C,Raw Good,AC-00753-C,1,GPS/GNSS,GPS/GNSS,,2,9
Item,Add AC-00751,Raw Good,AC-00751,1,LAN1,LAN1,,1,10
Item,Add XA-10103,Raw Good,XA-10103,1,LAN1,LAN1,P5,2,11
Item,Add AC-00752,Raw Good,AC-00752,1,LAN2,LAN2,,1,12
Item,Add XA-10103,Raw Good,XA-10103,1,LAN2,LAN2,P3,2,13
Item,Add AC-00754,Raw Good,AC-00754,1,TC INPUT,TC INPUT,,1,14
Item,Add AC-00755,Raw Good,AC-00755,1,TC OUTPUT,TC OUTPUT,,1,15
Item,Add XA-10074,Raw Good,XA-10074,1,PPO,PPO,W2,1,16
Item,Add XA-10074,Raw Good,XA-10074,1,SYNC INPUT,SYNC INPUT,W5,1,17
Item,Add XA-10074,Raw Good,XA-10074,1,10MHZ INPUT,10MHZ INPUT,W6,1,18
Item,Add XA-10074,Raw Good,XA-10074,1,10MHz OUTPUT,10MHz OUTPUT,W3,1,24
Item,Add AC-00756-2,Raw Good,AC-00756-2,1,OSCILLATOR,OSCILLATOR,,1,19
Item,Add AC-00756-1,Raw Good,AC-00756-1,1,OSCILLATOR,OSCILLATOR,,2,20
Item,Add AC-00757,Raw Good,AC-00757,1,OSCILLATOR,OSCILLATOR,X3,3,21
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,22
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,23
Item,Add AK-00104,Raw Good,AK-00104,1,,,,16,27
BOM,AP-05513,GMR5000 /HS2 /TCG,Manufacture,1,,,,,
Item,Add AK-00104,Raw Good,AK-00104,1,,,,10,14
Item,Add XA-10074,Raw Good,XA-10074,1,,,W1,9,13
Item,Create AP-05513,Finished Good,AP-05513,1,,,,1,1
Item,BASE,Raw Good,EC-00750,1,,,,1,2
Item,Add AS-00005,Raw Good,AS-00005,1,,,,2,3
Item,Add WH-00062,Raw Good,WH-00062,1,,,,3,4
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,5
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,6
Item,Add PL-00005,Raw Good,PL-00005,1,POWER CORD,POWER CORD,,3,7
Item,Add PL-00006,Raw Good,PL-00006,1,POWER CORD,POWER CORD,,4,8
Item,Add XA-10103,Raw Good,XA-10103,1,LAN1,LAN1,P5,1,9
Item,Add XA-10103,Raw Good,XA-10103,1,LAN2,LAN2,P3,1,10
Item,Add AC-00755,Raw Good,AC-00755,1,TC OUTPUT,TC OUTPUT,,1,11
Item,Add AC-00756-2,Raw Good,AC-00756-2,1,OSCILLATOR,OSCILLATOR,,1,12
BOM,AP-05520,GMR5000 /GNSS /HS2 /TCR /TCG /SYNC,Manufacture,1,,,,,
Item,Add AK-00104,Raw Good,AK-00104,1,,,,14,20
Item,BASE,Raw Good,EC-00750,1,,,,13,19
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,18
Item,Create AP-05520,Finished Good,AP-05520,1,,,,1,1
Item,Add AS-00005,Raw Good,AS-00005,1,,,,1,2
Item,Add WH-00062,Raw Good,WH-00062,1,,,,2,3
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,4
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,5
Item,Add PL-00005,Raw Good,PL-00005,1,POWER CORD,POWER CORD,,3,6
Item,Add PL-00006,Raw Good,PL-00006,1,POWER CORD,POWER CORD,,4,7
Item,Add AC-00753-B,Raw Good,AC-00753-B,1,GPS/GNSS,GPS/GNSS,,1,8
Item,Add XA-10103,Raw Good,XA-10103,1,LAN1,LAN1,P5,1,9
Item,Add XA-10103,Raw Good,XA-10103,1,LAN2,LAN2,P3,1,10
Item,Add AC-00754,Raw Good,AC-00754,1,TC INPUT,TC INPUT,,1,11
Item,Add AC-00755,Raw Good,AC-00755,1,TC OUTPUT,TC OUTPUT,,1,12
Item,Add XA-10074,Raw Good,XA-10074,1,SYNC INPUT,SYNC INPUT,W5,1,13
Item,Add AC-00756-2,Raw Good,AC-00756-2,1,OSCILLATOR,OSCILLATOR,,1,14
Item,Add XA-10074,Raw Good,XA-10074,1,,,W1,11,15
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,16
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,17
BOM,AP-05501,GMR5000 /GPS /HS2 /TCR /TCG /PPO,Manufacture,1,,,,,
Item,Add XA-10074,Raw Good,XA-10074,1,,,W1,14,20
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,18
Item,Create AP-05501,Finished Good,AP-05501,1,,,,1,1
Item,BASE,Raw Good,EC-00750,1,,,,1,2
Item,Add AS-00005,Raw Good,AS-00005,1,,,,2,3
Item,Add WH-00062,Raw Good,WH-00062,1,,,,3,4
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,5
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,6
Item,Add PL-00005,Raw Good,PL-00005,1,POWER CORD,POWER CORD,,3,7
Item,Add PL-00006,Raw Good,PL-00006,1,POWER CORD,POWER CORD,,4,8
Item,Add AC-00753-C,Raw Good,AC-00753-C,1,GPS/GNSS,GPS/GNSS,,1,9
Item,Add XA-10103,Raw Good,XA-10103,1,LAN1,LAN1,P5,1,10
Item,Add XA-10103,Raw Good,XA-10103,1,LAN2,LAN2,P3,1,11
Item,Add AC-00754,Raw Good,AC-00754,1,TC INPUT,TC INPUT,,1,12
Item,Add AC-00755,Raw Good,AC-00755,1,TC OUTPUT,TC OUTPUT,,1,13
Item,Add XA-10074,Raw Good,XA-10074,1,PPO,PPO,W2,1,14
Item,Add AC-00756-2,Raw Good,AC-00756-2,1,OSCILLATOR,OSCILLATOR,,1,15
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,16
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,17
Item,Add AK-00104,Raw Good,AK-00104,1,,,,13,19
BOM,AP-02003,GMR1000 /D6 /GPS /TCG /TCR /PPO /PPS /10MHz,Manufacture,1,,,,,
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,22
Item,Add AP-00313,Raw Good,AP-00313,1,,,,19,23
Item,Add AC-01421,Raw Good,AC-01421,1,,,,20,24
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02003,Finished Good,AP-02003,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,PCB,Raw Good,EC-01401-1,1,HSO,HSO,M-HSO,1,10
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,11
Item,Add AC-01418,Raw Good,AC-01418,1,PULSE,PULSE,,1,12
Item,Add AC-01434,Raw Good,AC-01434,1,TC IN,TC IN,M-TCI,1,13
Item,Add AC-01433,Raw Good,AC-01433,1,TC OUT,TC OUT,M-TCO,1,14
Item,Add AC-01424,Raw Good,AC-01424,1,DISPLAY,DISPLAY,,1,15
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,15,16
Item,NTP,Raw Good,EC-01410-DB9,1,BASE,BASE,,1,17
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,18
Item,Add ZC-00004,Raw Good,ZC-00004,1,10MHz,10MHz,10MHz OUT,1,19
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,20
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,21
BOM,AP-02004,GMR1000 /D6 /GPS /TCG /TCR /PPO /PPS /HS2 /10MHz,Manufacture,1,,,,,
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,22
Item,Add AP-00313,Raw Good,AP-00313,1,,,,19,23
Item,Add AC-01421,Raw Good,AC-01421,1,,,,20,24
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02004,Finished Good,AP-02004,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,Add AC-01411,Raw Good,AC-01411,1,HSO,HSO,,1,10
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,11
Item,Add AC-01418,Raw Good,AC-01418,1,PULSE,PULSE,,1,12
Item,Add AC-01434,Raw Good,AC-01434,1,TC IN,TC IN,M-TCI,1,13
Item,Add AC-01433,Raw Good,AC-01433,1,TC OUT,TC OUT,M-TCO,1,14
Item,Add AC-01424,Raw Good,AC-01424,1,DISPLAY,DISPLAY,,1,15
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,15,16
Item,NTP,Raw Good,EC-01410-DB9,1,BASE,BASE,,1,17
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,18
Item,Add ZC-00004,Raw Good,ZC-00004,1,10MHz,10MHz,10MHz OUT,1,19
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,20
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,21
BOM,AP-02028,GMR1000 /PTP /D6 /GPS /HS2,Manufacture,1,,,,,
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,12
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,20
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add DL-00006,Raw Good,DL-00006,1,,,D16,14,15
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02028,Finished Good,AP-02028,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,Add AC-01411,Raw Good,AC-01411,1,HSO,HSO,,1,10
Item,Add DL-00029,Raw Good,DL-00029,1,,,D15,15,16
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,11
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,12,13
Item,Add AC-01431,Raw Good,AC-01431,1,DISPLAY,DISPLAY,,1,17
Item,PTP,Raw Good,EC-01440-DB9,1,BASE,BASE,,1,14
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,18
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,19
Item,Add AP-00313,Raw Good,AP-00313,1,,,,17,21
Item,Add AC-01421,Raw Good,AC-01421,1,,,,18,22
BOM,AP-02006,GMR1000 /PTP /HS2 /D6 /GPS /TCG /TCR /PPO /PPS /10MHz,Manufacture,1,,,,,
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,22
Item,Add AP-00313,Raw Good,AP-00313,1,,,,19,23
Item,Add AC-01421,Raw Good,AC-01421,1,,,,20,24
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,14
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02006,Finished Good,AP-02006,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,10
Item,Add AC-01418,Raw Good,AC-01418,1,PULSE,PULSE,,1,11
Item,Add AC-01434,Raw Good,AC-01434,1,TC IN,TC IN,M-TCI,1,12
Item,Add AC-01433,Raw Good,AC-01433,1,TC OUT,TC OUT,M-TCO,1,13
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,15,15
Item,Add AC-01431,Raw Good,AC-01431,1,DISPLAY,DISPLAY,,1,19
Item,PTP,Raw Good,EC-01440-DB9,1,BASE,BASE,,1,16
Item,Add LO-00041,Raw Good,LO-00041,1,HSO,HSO,X2,1,17
Item,Add ZC-00004,Raw Good,ZC-00004,1,10MHz,10MHz,10MHz OUT,1,18
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,20
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,21
BOM,AP-02005,GMR1000 /PTP /D6 /GPS /TCG /TCR /PPO /PPS /10MHz,Manufacture,1,,,,,
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,22
Item,Add AP-00313,Raw Good,AP-00313,1,,,,19,23
Item,Add AC-01421,Raw Good,AC-01421,1,,,,20,24
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,14
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02005,Finished Good,AP-02005,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,10
Item,Add AC-01418,Raw Good,AC-01418,1,PULSE,PULSE,,1,11
Item,Add AC-01434,Raw Good,AC-01434,1,TC IN,TC IN,M-TCI,1,12
Item,Add AC-01433,Raw Good,AC-01433,1,TC OUT,TC OUT,M-TCO,1,13
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,15,15
Item,Add AC-01431,Raw Good,AC-01431,1,DISPLAY,DISPLAY,,1,19
Item,PTP,Raw Good,EC-01440-DB9,1,BASE,BASE,,1,16
Item,PCB,Raw Good,EC-01400,1,HSO,HSO,X1,1,17
Item,Add ZC-00004,Raw Good,ZC-00004,1,10MHz,10MHz,10MHz OUT,1,18
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,20
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,21
BOM,AP-05514,GMR5000 /GPS /TCG,Manufacture,1,,,,,
Item,Add AK-00104,Raw Good,AK-00104,1,,,,12,18
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,17
Item,Create AP-05514,Finished Good,AP-05514,1,,,,1,1
Item,BASE,Raw Good,EC-00750,1,,,,1,2
Item,Add AS-00005,Raw Good,AS-00005,1,,,,2,3
Item,Add WH-00062,Raw Good,WH-00062,1,,,,3,4
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,5
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,6
Item,Add PL-00005,Raw Good,PL-00005,1,POWER CORD,POWER CORD,,3,7
Item,Add PL-00006,Raw Good,PL-00006,1,POWER CORD,POWER CORD,,4,8
Item,Add AC-00753-C,Raw Good,AC-00753-C,1,GPS/GNSS,GPS/GNSS,,1,9
Item,Add XA-10103,Raw Good,XA-10103,1,LAN1,LAN1,P5,1,10
Item,Add XA-10103,Raw Good,XA-10103,1,LAN2,LAN2,P3,1,11
Item,Add AC-00755,Raw Good,AC-00755,1,TC OUTPUT,TC OUTPUT,,1,12
Item,Add AC-00756-1,Raw Good,AC-00756-1,1,OSCILLATOR,OSCILLATOR,,1,13
Item,Add XA-10074,Raw Good,XA-10074,1,,,W1,10,14
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,15
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,16
BOM,AP-02020,GMR1000 /D6 /GPS /10MHz,Manufacture,1,,,,,
Item,Add AP-00313,Raw Good,AP-00313,1,,,,18,22
Item,Add AC-01421,Raw Good,AC-01421,1,,,,19,23
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,21
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,13
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add DL-00006,Raw Good,DL-00006,1,,,D16,15,17
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02020,Finished Good,AP-02020,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,PCB,Raw Good,EC-01401-1,1,HSO,HSO,M-HSO,1,10
Item,Add DL-00029,Raw Good,DL-00029,1,,,D15,16,18
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,11
Item,Add AC-01424,Raw Good,AC-01424,1,DISPLAY,DISPLAY,,1,12
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,12,14
Item,NTP,Raw Good,EC-01410-DB9,1,BASE,BASE,,1,15
Item,Add ZC-00004,Raw Good,ZC-00004,1,10MHz,10MHz,10MHz OUT,1,16
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,19
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,20
BOM,AP-02001,GMR1000 /D6 /GPS /TCG,Manufacture,1,,,,,
Item,PCB,Raw Good,EC-01401-1,1,HSO,HSO,M-HSO,1,16
Item,Add AP-00313,Raw Good,AP-00313,1,,,,16,20
Item,Add AC-01421,Raw Good,AC-01421,1,,,,17,21
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,14
Item,Add HA-00020,Raw Good,HA-00020,2,,,,6,8
Item,Add WH-00062,Raw Good,WH-00062,1,,,,7,9
Item,Add AS-00005,Raw Good,AS-00005,1,,,,8,10
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006-BLK,Raw Good,HA-00006-BLK,4,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02001,Finished Good,AP-02001,1,,,,1,1
Item,NTP,Raw Good,EC-01410-DB9,1,,,,4,6
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,5,7
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,11
Item,Add AC-01433,Raw Good,AC-01433,1,TC OUT,TC OUT,M-TCO,1,12
Item,Add AC-01424,Raw Good,AC-01424,1,DISPLAY,DISPLAY,,1,13
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,13,15
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,17
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,18
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,19
BOM,AP-02047,GMR1000 /GNSS /HS2 /PPO /PPS,Manufacture,1,,,,,
Item,Add BF-00300-F0,Raw Good,BF-00300-F0,1,DISPLAY,DISPLAY,,1,11
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,12
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,19
Item,Add AP-00313,Raw Good,AP-00313,1,,,,17,20
Item,Add AC-01421,Raw Good,AC-01421,1,,,,18,21
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,6
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,7
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,8
Item,Add DL-00006,Raw Good,DL-00006,1,,,D16,14,15
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,3
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,4
Item,Create AP-02047,Finished Good,AP-02047,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,5
Item,Add AC-01411,Raw Good,AC-01411,1,HSO,HSO,,1,9
Item,Add DL-00029,Raw Good,DL-00029,1,,,D15,15,16
Item,Add AC-01418,Raw Good,AC-01418,1,PULSE,PULSE,,1,10
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,12,13
Item,NTP,Raw Good,EC-01410-DB9,1,BASE,BASE,,1,14
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,17
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,18
Item,Add AC-01415,Raw Good,AC-01415,1,GPS/GNSS,GPS/GNSS,,1,22
BOM,AP-02041,GMR1000 /PTP /DS6 /GPS /TCG,Manufacture,1,,,,,
Item,Add BF-00001-BLK,Raw Good,BF-00001-BLK,1,CASE,CASE,,1,10
Item,Add NONE,Raw Good,NONE,1,ANTENNA,ANTENNA,,3,17
Item,Add AP-00313,Raw Good,AP-00313,1,,,,16,18
Item,Add AC-01421,Raw Good,AC-01421,1,,,,17,19
Item,Add HA-00020,Raw Good,HA-00020,2,,,,5,7
Item,Add WH-00062,Raw Good,WH-00062,1,,,,6,8
Item,Add AS-00005,Raw Good,AS-00005,1,,,,7,9
Item,Add DL-00006,Raw Good,DL-00006,1,,,D16,13,13
Item,Add PS-00021-R,Raw Good,PS-00021-R,1,Power,Power,,1,2
Item,Add PS-00007,Raw Good,PS-00007,1,Power,Power,,2,3
Item,Add HA-00006,Raw Good,HA-00006,1,,,,2,4
Item,Add BF-00062,Raw Good,BF-00062,2,,,,3,5
Item,Create AP-02041,Finished Good,AP-02041,1,,,,1,1
Item,Add PS-Locking,Raw Good,PS-Locking,1,,,,4,6
Item,Add DL-00029,Raw Good,DL-00029,1,,,D15,14,14
Item,Add BF-02000-R,Raw Good,BF-02000-R R0,1,,,,11,11
Item,PTP,Raw Good,EC-01440-DB9,1,BASE,BASE,,1,12
Item,Add MCR GPS-Basic,Raw Good,GMR GPS-Basic,1,ANTENNA,ANTENNA,,1,15
Item,Add MCR GPS-Stnd,Raw Good,GMR GPS-Stnd,1,ANTENNA,ANTENNA,,2,16
Item,Add AC-01414,Raw Good,AC-01414,1,GPS/GNSS,GPS/GNSS,,1,20
Item,Add AC-01433,Raw Good,AC-01433,1,TC OUT,TC OUT,,1,21
Item,Add EC-01400,Raw Good,EC-01400,1,HSO,HSO,,1,22
Item,Add AC-01431,Raw Good,AC-01431,1,DISPLAY,DISPLAY,,1,23
Item,Add BF-00300-F0P,Raw Good,BF-00300-F0P,1,DISPLAY,DISPLAY,,2,24
Item,Add BF-00300-F6P,Raw Good,BF-00300-F6P,1,DISPLAY,DISPLAY,,3,25
BOM,AP-05517,GMR5000 /HS2,Manufacture,1,,,,,
Item,Add AK-00104,Raw Good,AK-00104,1,,,,9,13
Item,Create AP-05517,Finished Good,AP-05517,1,,,,1,1
Item,BASE,Raw Good,EC-00750,1,,,,1,2
Item,Add AS-00005,Raw Good,AS-00005,1,,,,2,3
Item,Add WH-00062,Raw Good,WH-00062,1,,,,3,4
Item,Add PL-00001,Raw Good,PL-00001,1,POWER CORD,POWER CORD,,1,5
Item,Add PL-00004,Raw Good,PL-00004,1,POWER CORD,POWER CORD,,2,6
